"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify all products are displayed on inventory page","12","testAllProductsDisplayed","E-Commerce Test Suite","Thu Feb 19 10:14:48 UTC 2026","passed","Thu Feb 19 10:14:48 UTC 2026","com.seleniumui.framework.tests.ProductTest","All Tests","com.seleniumui.framework.tests.ProductTest","testAllProductsDisplayed"
"Verify product can be added to cart","247","testAddProductToCart","E-Commerce Test Suite","Thu Feb 19 10:14:34 UTC 2026","passed","Thu Feb 19 10:14:34 UTC 2026","com.seleniumui.framework.tests.ProductTest","All Tests","com.seleniumui.framework.tests.ProductTest","testAddProductToCart"
"Verify valid session persists across page refreshes","516","testSessionPersistsOnRefresh","E-Commerce Test Suite","Thu Feb 19 10:14:52 UTC 2026","passed","Thu Feb 19 10:14:53 UTC 2026","com.seleniumui.framework.tests.SessionTest","All Tests","com.seleniumui.framework.tests.SessionTest","testSessionPersistsOnRefresh"
"Verify products can be sorted by price high to low","142","testSortByPriceHighToLow","E-Commerce Test Suite","Thu Feb 19 10:14:47 UTC 2026","passed","Thu Feb 19 10:14:47 UTC 2026","com.seleniumui.framework.tests.ProductTest","All Tests","com.seleniumui.framework.tests.ProductTest","testSortByPriceHighToLow"
"Verify product can be removed from cart","10242","testRemoveProductFromCart","E-Commerce Test Suite","Thu Feb 19 10:14:35 UTC 2026","passed","Thu Feb 19 10:14:45 UTC 2026","com.seleniumui.framework.tests.ProductTest","All Tests","com.seleniumui.framework.tests.ProductTest","testRemoveProductFromCart"
"Verify that a valid user can successfully login to the application","1092","testValidLogin","E-Commerce Test Suite","Thu Feb 19 10:14:29 UTC 2026","passed","Thu Feb 19 10:14:30 UTC 2026","com.seleniumui.framework.tests.LoginTest","All Tests","com.seleniumui.framework.tests.LoginTest","testValidLogin"
"Verify valid login with multiple user types","424","testValidLoginWithMultipleUsers","E-Commerce Test Suite","Thu Feb 19 10:14:31 UTC 2026","passed","Thu Feb 19 10:14:31 UTC 2026","com.seleniumui.framework.tests.LoginTest","All Tests","com.seleniumui.framework.tests.LoginTest","testValidLoginWithMultipleUsers"
"Verify complete checkout flow with dynamic user data","832","testCompleteCheckout","E-Commerce Test Suite","Thu Feb 19 10:14:49 UTC 2026","passed","Thu Feb 19 10:14:50 UTC 2026","com.seleniumui.framework.tests.CheckoutTest","All Tests","com.seleniumui.framework.tests.CheckoutTest","testCompleteCheckout"
"Verify valid login with multiple user types","427","testValidLoginWithMultipleUsers","E-Commerce Test Suite","Thu Feb 19 10:14:32 UTC 2026","passed","Thu Feb 19 10:14:32 UTC 2026","com.seleniumui.framework.tests.LoginTest","All Tests","com.seleniumui.framework.tests.LoginTest","testValidLoginWithMultipleUsers"
"Verify login page loads correctly","49","testLoginPageLoads","E-Commerce Test Suite","Thu Feb 19 10:14:33 UTC 2026","passed","Thu Feb 19 10:14:33 UTC 2026","com.seleniumui.framework.tests.LoginTest","All Tests","com.seleniumui.framework.tests.LoginTest","testLoginPageLoads"
"Verify accessing cart page without login shows error","275","testAccessCartWithoutLogin","E-Commerce Test Suite","Thu Feb 19 10:14:52 UTC 2026","passed","Thu Feb 19 10:14:52 UTC 2026","com.seleniumui.framework.tests.SessionTest","All Tests","com.seleniumui.framework.tests.SessionTest","testAccessCartWithoutLogin"
"Verify accessing inventory page without login redirects to login page with error","272","testAccessInventoryWithoutLogin","E-Commerce Test Suite","Thu Feb 19 10:14:51 UTC 2026","passed","Thu Feb 19 10:14:51 UTC 2026","com.seleniumui.framework.tests.SessionTest","All Tests","com.seleniumui.framework.tests.SessionTest","testAccessInventoryWithoutLogin"
"Verify products can be sorted by price low to high","148","testSortByPriceLowToHigh","E-Commerce Test Suite","Thu Feb 19 10:14:46 UTC 2026","passed","Thu Feb 19 10:14:46 UTC 2026","com.seleniumui.framework.tests.ProductTest","All Tests","com.seleniumui.framework.tests.ProductTest","testSortByPriceLowToHigh"
