"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify products can be sorted by price low to high","138","testSortByPriceLowToHigh","E-Commerce Test Suite","Thu Feb 19 10:31:57 UTC 2026","passed","Thu Feb 19 10:31:57 UTC 2026","com.seleniumui.framework.tests.ProductTest","All Tests","com.seleniumui.framework.tests.ProductTest","testSortByPriceLowToHigh"
"Verify valid session persists across page refreshes","527","testSessionPersistsOnRefresh","E-Commerce Test Suite","Thu Feb 19 10:32:03 UTC 2026","passed","Thu Feb 19 10:32:03 UTC 2026","com.seleniumui.framework.tests.SessionTest","All Tests","com.seleniumui.framework.tests.SessionTest","testSessionPersistsOnRefresh"
"Verify valid login with multiple user types","430","testValidLoginWithMultipleUsers","E-Commerce Test Suite","Thu Feb 19 10:31:42 UTC 2026","passed","Thu Feb 19 10:31:42 UTC 2026","com.seleniumui.framework.tests.LoginTest","All Tests","com.seleniumui.framework.tests.LoginTest","testValidLoginWithMultipleUsers"
"Verify accessing inventory page without login redirects to login page with error","181","testAccessInventoryWithoutLogin","E-Commerce Test Suite","Thu Feb 19 10:32:02 UTC 2026","passed","Thu Feb 19 10:32:02 UTC 2026","com.seleniumui.framework.tests.SessionTest","All Tests","com.seleniumui.framework.tests.SessionTest","testAccessInventoryWithoutLogin"
"Verify login page loads correctly","50","testLoginPageLoads","E-Commerce Test Suite","Thu Feb 19 10:31:44 UTC 2026","passed","Thu Feb 19 10:31:44 UTC 2026","com.seleniumui.framework.tests.LoginTest","All Tests","com.seleniumui.framework.tests.LoginTest","testLoginPageLoads"
"Verify accessing cart page without login shows error","158","testAccessCartWithoutLogin","E-Commerce Test Suite","Thu Feb 19 10:32:02 UTC 2026","passed","Thu Feb 19 10:32:02 UTC 2026","com.seleniumui.framework.tests.SessionTest","All Tests","com.seleniumui.framework.tests.SessionTest","testAccessCartWithoutLogin"
"Verify product can be removed from cart","10200","testRemoveProductFromCart","E-Commerce Test Suite","Thu Feb 19 10:31:46 UTC 2026","passed","Thu Feb 19 10:31:56 UTC 2026","com.seleniumui.framework.tests.ProductTest","All Tests","com.seleniumui.framework.tests.ProductTest","testRemoveProductFromCart"
"Verify valid login with multiple user types","405","testValidLoginWithMultipleUsers","E-Commerce Test Suite","Thu Feb 19 10:31:43 UTC 2026","passed","Thu Feb 19 10:31:43 UTC 2026","com.seleniumui.framework.tests.LoginTest","All Tests","com.seleniumui.framework.tests.LoginTest","testValidLoginWithMultipleUsers"
"Verify product can be added to cart","247","testAddProductToCart","E-Commerce Test Suite","Thu Feb 19 10:31:45 UTC 2026","passed","Thu Feb 19 10:31:45 UTC 2026","com.seleniumui.framework.tests.ProductTest","All Tests","com.seleniumui.framework.tests.ProductTest","testAddProductToCart"
"Verify products can be sorted by price high to low","144","testSortByPriceHighToLow","E-Commerce Test Suite","Thu Feb 19 10:31:58 UTC 2026","passed","Thu Feb 19 10:31:58 UTC 2026","com.seleniumui.framework.tests.ProductTest","All Tests","com.seleniumui.framework.tests.ProductTest","testSortByPriceHighToLow"
"Verify complete checkout flow with dynamic user data","826","testCompleteCheckout","E-Commerce Test Suite","Thu Feb 19 10:32:00 UTC 2026","passed","Thu Feb 19 10:32:01 UTC 2026","com.seleniumui.framework.tests.CheckoutTest","All Tests","com.seleniumui.framework.tests.CheckoutTest","testCompleteCheckout"
"Verify all products are displayed on inventory page","12","testAllProductsDisplayed","E-Commerce Test Suite","Thu Feb 19 10:31:59 UTC 2026","passed","Thu Feb 19 10:31:59 UTC 2026","com.seleniumui.framework.tests.ProductTest","All Tests","com.seleniumui.framework.tests.ProductTest","testAllProductsDisplayed"
"Verify that a valid user can successfully login to the application","1055","testValidLogin","E-Commerce Test Suite","Thu Feb 19 10:31:40 UTC 2026","passed","Thu Feb 19 10:31:41 UTC 2026","com.seleniumui.framework.tests.LoginTest","All Tests","com.seleniumui.framework.tests.LoginTest","testValidLogin"
